Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,2,Correct,2
Basic Problem B-02,5,Correct,5
Basic Problem B-03,1,Correct,1
Basic Problem B-04,3,Correct,3
Basic Problem B-05,2,Incorrect,4
Basic Problem B-06,5,Correct,5
Basic Problem B-07,6,Correct,6
Basic Problem B-08,2,Incorrect,6
Basic Problem B-09,5,Correct,5
Basic Problem B-10,3,Correct,3
Basic Problem B-11,1,Correct,1
Basic Problem B-12,3,Incorrect,1
Basic Problem C-01,3,Correct,3
Basic Problem C-02,5,Incorrect,4
Basic Problem C-03,2,Incorrect,4
Basic Problem C-04,4,Incorrect,8
Basic Problem C-05,4,Incorrect,3
Basic Problem C-06,1,Incorrect,7
Basic Problem C-07,2,Correct,2
Basic Problem C-08,3,Incorrect,5
Basic Problem C-09,3,Incorrect,2
Basic Problem C-10,8,Incorrect,7
Basic Problem C-11,5,Incorrect,4
Basic Problem C-12,8,Correct,8
Challenge Problem B-01,0,Incorrect,6
Challenge Problem B-02,0,Incorrect,1
Challenge Problem B-03,0,Incorrect,3
Challenge Problem B-04,0,Incorrect,4
Challenge Problem B-05,0,Incorrect,6
Challenge Problem B-06,0,Incorrect,3
Challenge Problem B-07,0,Incorrect,6
Challenge Problem B-08,0,Incorrect,4
Challenge Problem B-09,0,Incorrect,4
Challenge Problem B-10,0,Incorrect,4
Challenge Problem B-11,0,Incorrect,5
Challenge Problem B-12,0,Incorrect,1
Challenge Problem C-01,0,Incorrect,7
Challenge Problem C-02,0,Incorrect,7
Challenge Problem C-03,0,Incorrect,3
Challenge Problem C-04,0,Incorrect,8
Challenge Problem C-05,0,Incorrect,4
Challenge Problem C-06,0,Incorrect,7
Challenge Problem C-07,0,Incorrect,3
Challenge Problem C-08,0,Incorrect,1
Challenge Problem C-09,0,Incorrect,7
Challenge Problem C-10,0,Incorrect,3
Challenge Problem C-11,0,Incorrect,4
Challenge Problem C-12,0,Incorrect,2
